city,year,fascia,num_modelli,num_auto,avg_daysonmarket,top3_str
Battle Creek,2009,bassa,3,3,19.0,"front,rear,type"
Battle Creek,2010,bassa,3,3,29.33,"front,rear,type"
Battle Creek,2011,bassa,2,2,10.0,"front,rear,type"
Battle Creek,2015,bassa,1,1,10.0,"front,rear,type"
Bay Shore,2008,bassa,2,2,5.5,"front,rear,seat"
Bay Shore,2012,bassa,4,4,9.5,"front,rear,power"
Bay Shore,2012,media,1,1,2.0,"front,rear,power"
Bay Shore,2013,media,1,1,6.0,"front,wheel,steering"
Bay Shore,2014,media,1,1,7.0,"front,rear,power"
Bay Shore,2015,bassa,7,7,27.57,"front,rear,system"
Bay Shore,2018,alta,2,2,138.5,"rear,front,power"
Bay Shore,2018,media,9,32,26.22,"front,rear,power"
Bay Shore,2020,media,16,209,106.11,"2020,chevrolet,automatic"
Bay Shore,2021,alta,1,2,10.5,"front,rear,power"
Bayamon,2018,media,1,2,473.0,"seat,power,rear"
Bayamon,2019,alta,2,2,473.0,"power,seat,rear"
Bohemia,2013,media,3,3,61.67,"front,power,steering"
Bohemia,2015,media,7,7,42.71,"front,rear,power"
Bohemia,2017,bassa,9,16,46.63,"front,wheel,rear"
Bohemia,2020,media,9,52,95.71,"front,rear,wheel"
Bronx,2014,bassa,7,8,56.0,"front,rear,power"
Bronx,2014,media,1,1,120.0,"seats,certified,vehicle"
Bronx,2017,bassa,17,23,39.13,"rear,front,power"
Bronx,2017,media,25,57,31.09,"power,rear,front"
Bronx,2018,media,17,23,32.0,"power,rear,front"
Center Line,2016,bassa,1,1,84.0,""
Center Line,2017,media,10,13,109.77,""
Center Line,2018,media,9,33,67.15,""
Clinton Township,2010,bassa,1,1,73.0,"rear,mirror,front"
Clinton Township,2013,bassa,3,3,30.33,"power,mirror,rear"
Clinton Township,2017,media,4,5,35.6,"power,seat,rear"
Clinton Township,2020,media,3,19,64.11,"power,rear,mirror"
Coldwater,2015,bassa,2,2,10.0,"power,control,wheel"
Croton-On-Hudson,2004,bassa,1,1,50.0,"tire,handling,group"
Croton-On-Hudson,2014,bassa,1,1,13.0,"power,rear,wheel"
